"iata","name","city","subd","country","lat","lon","iso"
"OKR","Yorke Island Airport","Yorke Island","Queensland","Australia","-9.75703","143.411","AU"
"KYF","Yeelirrie Airport","","Western Australia","Australia","-27.27706","120.09567","AU"
"XMY","Yam Island Airport","Yam Island","Queensland","Australia","-9.90111","142.776","AU"
"YUE","Yuendumu Airport","","Northern Territory","Australia","-22.2542","131.782","AU"
"NGA","Young Airport","","New South Wales","Australia","-34.2556","148.248","AU"
"ORR","Yorketown Airport","","South Australia","Australia","-35.0","137.617","AU"
"KYI","Yalata Mission Airport","Yalata Mission","South Australia","Australia","-31.4706","131.825","AU"
"PEK","Beijing Capital International Airport","Beijing","Beijing","China","40.0801","116.585","CN"
"PKX","Beijing Daxing International Airport","Beijing","Beijing","China","39.5","116.4","CN"
"CIF","Chifeng Airport","Chifeng","Inner Mongolia","China","42.235","118.908","CN"
"CIH","Changzhi Airport","Changzhi","Shanxi","China","36.2475","113.126","CN"
"DSN","Ordos Ejin Horo Airport","Ordos","Inner Mongolia","China","39.49","109.86139","CN"
"DAT","Datong Airport","Datong","Shanxi","China","40.0603","113.482","CN"
"ERL","Erenhot Saiwusu International Airport","Erenhot","Inner Mongolia","China","43.4225","112.09667","CN"
"AEB","Tian Yang Air Base","Baise","Guangxi","China","23.7206","106.96","CN"
"HDG","Handan Airport","Handan","Hebei","China","36.52583","114.42556","CN"
"HET","Baita International Airport","Hohhot","Inner Mongolia","China","40.8514","111.824","CN"
"HLD","Dongshan Airport","Hailar","Inner Mongolia","China","49.205","119.825","CN"
"NAY","Beijing Nanyuan Airport","Beijing","Beijing","China","39.7828","116.388","CN"
"BAV","Baotou Airport","Baotou","Inner Mongolia","China","40.56","109.997","CN"
"SJW","Shijiazhuang Daguocun International Airport","Shijiazhuang","Hebei","China","38.2807","114.697","CN"
"TSN","Tianjin Binhai International Airport","Tianjin","Tianjin","China","39.1244","117.346","CN"
"TGO","Tongliao Airport","Tongliao","Inner Mongolia","China","43.5567","122.2","CN"
"HLH","Ulanhot Airport","Ulanhot","Inner Mongolia","China","46.19533","122.00833","CN"
"XIL","Xilinhot Airport","Xilinhot","Inner Mongolia","China","43.9156","115.964","CN"
"YCU","Yuncheng Guangong Airport","Yuncheng","Shanxi","China","35.11639","111.03139","CN"
"TYN","Taiyuan Wusu Airport","Taiyuan","Shanxi","China","37.7469","112.628","CN"
"BHY","Beihai Airport","Beihai","Guangxi","China","21.5394","109.294","CN"
"CGD","Changde Airport","Changde","Hunan","China","28.9189","111.64","CN"
"HJJ","Zhijiang Airport","Huaihua","Hunan","China","27.44111","109.7","CN"
"DYG","Dayong Airport","Dayong","Hunan","China","29.1028","110.443","CN"
"FUO","Foshan Shadi Airport","Foshan","Guangdong","China","23.0833","113.07","CN"
"CAN","Guangzhou Baiyun International Airport","Guangzhou","Guangdong","China","23.3924","113.299","CN"
"CSX","Changsha Huanghua Airport","Changsha","Hunan","China","28.1892","113.22","CN"
"HNY","Hengyang Airport","Hengyang","Hunan","China","26.9053","112.628","CN"
"HUZ","Huizhou Airport","Huizhou","Guangdong","China","23.05","114.6","CN"
"KWL","Guilin Liangjiang International Airport","Guilin City","Guangxi","China","25.2181","110.039","CN"
"LLF","Lingling Airport","Yongzhou","Hunan","China","26.33866","111.61004","CN"
"MXZ","Meixian Airport","Meixian","Guangdong","China","24.35","116.133","CN"
"NNG","Nanning Wuxu Airport","Nanning","Guangxi","China","22.6083","108.172","CN"
"SWA","Shantou Waisha Airport","Shantou","Guangdong","China","23.4269","116.762","CN"
"ZUH","Zhuhai Airport","Zhuhai","Guangdong","China","22.0064","113.376","CN"
"SZX","Shenzhen Bao'an International Airport","Shenzhen","Guangdong","China","22.6393","113.811","CN"
"WUZ","Changzhoudao Airport","Wuzhou","Guangxi","China","23.4567","111.248","CN"
"XIN","Xingning Airport","Xingning","Guangdong","China","24.1492","115.758","CN"
